,totalTime,totalMutations,totalFailures,mutationScore
UnsupportedMimeTypeException,89540,13,0,0.0
UncheckedIOException,68207,8,4,0.5
Jsoup,312094,54,50,0.9259259259259259
Connection,31,0,0,
SerializationException,51031,10,0,0.0
HttpStatusException,74780,12,0,0.0
Comment,486665,67,62,0.9253731343283582
PseudoTextElement,30076,3,0,0.0
TextNode,512059,111,92,0.8288288288288288
Attributes,2075665,423,341,0.806146572104019
CDataNode,118312,16,11,0.6875
Element,4875505,936,801,0.8557692307692307
LeafNode,446554,64,54,0.84375
BooleanAttribute,9452,1,1,1.0
Entities,1099882,271,235,0.8671586715867159
XmlDeclaration,387385,63,53,0.8412698412698413
FormElement,285612,103,97,0.941747572815534
